District,Crop,Year,Rainfall_mm,Temperature_C,Humidity_pct,Soil_pH,Soil_Moisture_pct,Yield_t_ha,Rainfall_Anomaly,Temperature_Range_Index,Growing_Degree_Days
Trichy,Rice,2018,575.2688586023644,25.01475073146322,62.78266173070384,7.085528093615362,36.36650728895375,6.861122322465391,-285.2063968594133,0.014750731463220035,450.4425219438966
Coimbatore,Rice,2024,714.6714111410879,27.826704434487887,68.1652160372658,7.024739681343577,27.342893748992054,7.4129006558637665,-136.42054517008341,2.826704434487887,534.8011330346366
Salem,Cotton,2023,918.000276720797,26.788299889474125,74.70769742807357,7.4356790179089,20.73259356916568,6.925454196900671,58.97949003253484,1.7882998894741249,503.64899668422373
Salem,Cotton,2021,692.9200036528968,30.623650468252844,76.45136343877999,7.05162425926511,46.09504841771521,6.427159780108175,-166.10078303536545,5.623650468252844,618.7095140475853
Trichy,Rice,2021,780.4083899247254,30.7133496130651,71.18314906404724,6.61923845792549,33.25642371147771,7.013228264121832,-80.06686553705231,5.713349613065098,621.400488391953
Tirunelveli,Groundnut,2024,960.3396731324874,22.12709824820444,57.19444672966801,6.462127481386172,42.404154650819294,6.0392557918129635,125.31243041632092,2.8729017517955597,363.8129474461332
Erode,Cotton,2018,762.8068296996745,31.344350140045808,49.29745290764748,7.018694358999556,55.90048426841169,6.824680431983627,-91.07336456442056,6.344350140045808,640.3305042013742
Tirunelveli,Rice,2023,906.5148972755063,26.045581099331805,66.12044011775548,6.56678572704933,41.0195235304058,8.791555666667158,71.48765455933983,1.0455810993318053,481.3674329799542
Coimbatore,Rice,2019,1248.1821140048921,28.756135035509356,77.71284858709764,6.733059064511793,38.03569061579523,9.143180163185026,397.0901576937208,3.756135035509356,562.6840510652806
Vellore,Maize,2018,807.0353002532506,24.995492030773452,72.49697441397743,7.056778301737453,46.036751365026575,6.972968422531666,-38.81144170503171,0.00450796922654817,449.86476092320356
Salem,Rice,2022,1144.8344524298016,29.187630728671305,70.42033007380037,6.79698910063218,42.237039615103676,8.664287359126321,285.81366574153935,4.187630728671305,575.6289218601391
Salem,Groundnut,2025,989.8425168268395,36.16431665158753,67.92973443533516,6.916016617326895,23.63531552638822,3.3140354878445106,130.82173013857732,11.164316651587527,784.9294995476258
Chennai,Groundnut,2023,483.18950162830834,28.406929796112106,71.09101843471686,6.146354818018934,46.99386271075967,6.23688899102555,-366.21219176074896,3.406929796112106,552.2078938833632
Tirunelveli,Maize,2024,574.4657426841189,26.52848730353166,58.059088230460816,7.644793927854462,34.58638692189289,6.005058350070291,-260.56150003204755,1.5284873035316586,495.8546191059498
Chennai,Cotton,2023,641.6010292325259,27.25708404903827,75.80201819165282,5.9253289806504,48.872206252042965,8.29088222950364,-207.8006641565314,2.2570840490382693,517.7125214711481
Salem,Cotton,2024,636.2912707668041,23.299104136838338,76.46306458422148,7.007438412248873,39.563415831044665,6.640961908611041,-222.72951592145807,1.7008958631616622,398.97312410515013
Tirunelveli,Groundnut,2022,827.4275634732965,32.636682515726264,64.4473449165672,6.359911522622558,45.72395518002121,5.820795093269944,-7.599679242870025,7.636682515726264,679.100475471788
Erode,Groundnut,2019,1003.6610120204556,29.001225944309155,72.37007630651638,7.457642230643227,32.97848011103894,6.721804572777307,149.78081775636053,4.001225944309155,570.0367783292746
Chennai,Rice,2024,1163.7896041761805,24.64352669984689,50.83450535629995,7.318618591492905,21.34424153517285,6.3119666223871995,314.38791078712325,0.35647330015310885,439.30580099540674
Tirunelveli,Rice,2021,927.0437721812706,24.74778147158799,69.80047915971333,6.698565131056842,40.07341620140239,8.4683983867635,92.0165294651041,0.2522185284120084,442.43344414763976
Trichy,Cotton,2022,738.5801109866975,28.048903613276245,66.66874739058333,7.78830427623171,43.79166718633198,7.70521707378149,-121.8951444750802,3.048903613276245,541.4671083982873
Madurai,Groundnut,2020,329.43968909253147,30.98238525868316,80.59232906870481,6.568820546252851,29.987610912825964,5.810034570294988,-512.0358280658705,5.982385258683159,629.4715577604948
Coimbatore,Maize,2019,867.6473938543345,24.316832292041692,66.01357242814939,7.3171843225239845,33.17025231667067,6.102743364336731,16.55543754316318,0.6831677079583081,429.5049687612508
Vellore,Groundnut,2025,856.4425484237478,31.562909893974947,76.68664513380946,6.191638412309635,15.070835515152744,5.313035002226046,10.595806465465444,6.562909893974947,646.8872968192484
Trichy,Rice,2024,895.7321883847394,27.70677263373791,64.088274888175,6.983481665318291,33.602325045161926,7.281883046447717,35.25693292296171,2.706772633737909,531.2031790121373
Salem,Maize,2023,1376.5600744258331,25.02322116797729,45.13899285424898,6.0472777729987826,23.745929994927003,5.715158291562869,517.5392877375709,0.023221167977290236,450.6966350393187
Coimbatore,Maize,2021,1160.149136548268,26.503390634966472,65.74463679189768,6.713629884358729,39.65501073277197,7.512412391807034,309.05718023709665,1.5033906349664719,495.10171904899414
Vellore,Cotton,2024,1046.2652295624964,33.59537240681507,69.96757255113438,6.6640114923821345,38.0143043164365,6.393526761019915,200.41848760421408,8.595372406815073,707.8611722044523
Coimbatore,Maize,2022,609.4807174821001,23.55771732305492,69.50837503688507,7.314991162807675,35.136803172909026,5.663082528283636,-241.61123882907123,1.44228267694508,406.7315196916476
Trichy,Rice,2021,721.7513127008142,25.657942540972332,69.65950505273479,6.230475041701043,46.90384426531281,7.246760296019593,-138.7239427609635,0.6579425409723321,469.73827622916997
Chennai,Maize,2021,826.2888482678744,31.048267470831746,62.93545797634433,8.5,37.1686829625099,6.374302512618954,-23.112845121182886,6.048267470831746,631.4480241249523
Madurai,Maize,2019,656.1482189974116,28.692662539051632,64.76272424254975,5.732539267151492,36.741087253263366,6.308382611084756,-185.32729816099038,3.692662539051632,560.779876171549
Vellore,Maize,2018,975.1161312462796,25.468029381574233,56.73656155419467,6.863064417698237,37.89459718393116,7.440492576940679,129.26938928799723,0.4680293815742331,464.040881447227
Vellore,Cotton,2022,939.2272123039261,31.087338356367432,48.033943344908465,6.901453486667509,29.754704385064336,6.992252549135805,93.38047034564374,6.087338356367432,632.620150691023
Tirunelveli,Maize,2025,577.9230517363269,31.239346346141378,66.93540996620108,7.076665709887099,43.922453071282135,6.677891809393571,-257.1041909798396,6.239346346141378,637.1803903842414
Chennai,Maize,2018,1149.204177274031,29.06045013925786,60.54796917501885,6.3392251557982044,26.75273054670697,7.439124625471008,299.80248388497375,4.06045013925786,571.8135041777358
Trichy,Maize,2024,875.5775834522151,26.040330919732753,78.79835578999679,6.869239341073316,38.80478610361301,6.946369639394826,15.102327990437402,1.040330919732753,481.2099275919826
Madurai,Rice,2024,417.73221331443716,26.533425216530055,46.1801631365314,6.304886235265442,45.96813990082691,6.1991199465129085,-423.74330384396484,1.5334252165300555,496.0027564959017
Erode,Rice,2020,837.1642854137576,28.910963408954874,70.91018799144292,8.011198186394516,25.76173388197174,6.063352064737198,-16.715908850337428,3.910963408954874,567.3289022686462
Madurai,Rice,2023,920.3016139807262,23.801827004117186,89.21487264873947,6.2554247237282885,22.918524588405823,7.033184446986503,78.82609682232419,1.198172995882814,414.0548101235156
Chennai,Cotton,2019,1093.1980903589351,32.24891161962596,66.17153568482495,6.596385436925688,25.602846897566952,5.841706679365741,243.79639696987783,7.248911619625957,667.4673485887787
Vellore,Cotton,2024,765.6308992183459,33.440669083762685,67.97251909317957,6.23566643279429,51.35350225104235,6.069795281285672,-80.21584273993642,8.440669083762685,703.2200725128805
Madurai,Rice,2023,1056.9845668618018,27.244944480511133,72.26346769971491,6.139814623405305,29.51623622342964,8.035855484587067,215.5090497033998,2.2449444805111334,517.348334415334
Vellore,Maize,2020,896.7854966925539,29.13953437577858,73.04519457205727,5.719239394701795,24.195876147687596,6.270663404411334,50.93875473427158,4.139534375778581,574.1860312733575
Erode,Rice,2018,521.2363477406052,31.794566537117845,63.91492663439354,7.170446680329297,38.29719909545401,6.1668798890862355,-332.64384652348986,6.794566537117845,653.8369961135354
